"","ID","Q1","Q2","Q3","Q4","Q5","Q6_1","Q6_2","Q6_3","Q6_4","Q7","female","college","married","regular","status"
"1748",586,1,7,5,6,NA,2,4,3,2,3,0,1,0,1,3
"2950",586,1,7,5,6,NA,2,4,3,2,3,1,0,1,1,2
"145",587,2,4,5,2,4,3,3,3,4,2,0,1,0,1,2
"547",587,2,4,5,2,4,3,3,3,4,2,0,1,0,0,3
"1548",587,2,4,5,2,4,3,3,3,4,2,1,1,0,1,2
"2550",587,2,4,5,2,4,3,3,3,4,2,1,1,1,1,2
"1749",588,2,6,5,3,5,2,3,4,3,2,0,1,0,1,3
"1951",588,2,6,5,3,5,2,3,4,3,2,0,1,1,0,3
"2152",588,2,6,5,3,5,2,3,4,3,2,0,0,1,1,2
"3152",588,2,6,5,3,5,2,3,4,3,2,1,0,1,0,3
"146",589,2,2,5,2,4,3,2,4,1,3,0,1,0,1,3
